name,name_abbr,team_id_2016,color_1,descript_col_1,color_2,descript_col_2,color_3,descript_col_3,color_4,descript_col_4,color_5,descript_col_5,
Atlanta Hawks,ATL,1610612737,#E13A3E,red,#C4D600,highlight,#061922,black,#003366,navy,#A9A9A9,grey,
Brooklyn Nets,BKN,1610612751,#061922,black,#C0C0C0,silver,#EEEEE0,cream,#B71234,red,#004770,navy,
Boston Celtics,BOS,1610612738,#008348,green,#C0C0C0,silver,#061922,black,#FFD700,gold,#A73832,red/brown,
Charlotte Hornets,CHA,1610612766,#1D1160,steel blue,#061922,teal,#4682B4,purple,#008CA8,black,#EEEEE0,cream,
Chicago Bulls,CHI,1610612741,#CE1141,red,#061922,black,#696969,dark grey,#778899,slate grey,#EEEEE0,cream,
Cleveland Cavaliers,CLE,1610612739,#860038,wine,#FDBB30,gold,#002D62,navy,#EEEEE0,cream,#061922,black,
Dallas Mavericks,DAL,1610612742,#007DC5,light blue,#C4CED3,grey,#20385B,navy,#016F4A,green,#061922,black,
Denver Nuggets,DEN,1610612743,#4D90CD,light blue,#FDB927,gold,#0F586C,green/blue,#004770,navy,#91022D,maroon,
Detroit Pistons,DET,1610612765,#ED174C,red,#006BB6,blue,#001470,navy,#0F586C,green/blue,#B0B7BC,silver,
Golden State Warriors,GSW,1610612744,#006BB6,blue,#FDB927,gold,#26282A,black,#EEEEE0,cream,#1B3F8B,navy,
Houston Rockets,HOU,1610612745,#CE1141,red,#FDB927,mustard,#061922,black,#C4CED3,grey,#004770,navy,
Indiana Pacers,IND,1610612754,#00275D,navy,#FFC633,gold,#BEC0C2,grey,#004689,blue,#841F27,maroon,
Los Angeles Clippers,LAC,1610612746,#ED174C,red,#006BB6,blue,#BEC0C2,grey,#00285D,navy,#061922,black,
Los Angeles Lakers,LAL,1610612747,#552582,purple,#FDB927,gold,#061922,black,#8177B7,light purple,#AFB7BA,silver,
Memphis Grizzlies,MEM,1610612763,#23375B,midnight blue,#6189B9,blue/grey,#BBD1E4,light blue/grey,#FFD432,gold,#8B8989,dark grey,
Miami Heat,MIA,1610612748,#98002E,red,#F9A01B,gold,#061922,black,#BCBEC0,grey,#FF69B4,pink,
Milwaukee Bucks,MIL,1610612749,#00471B,green,#F0EBD2,cream,#0077C0,royal blue,#061922,black,#4B0082,purple,
Minnesota Timberwolves,MIN,1610612750,#005083,blue,#00A94F,green,#C4CED3,grey,#061922,black,#E03A3F,red,
New Orleans Pelicans,NOP,1610612740,#002B5C,navy,#E31837,red,#B4975A,tan/gold,#061922,black,#A9A9A9,grey,
New York Knicks,NYK,1610612752,#006BB6,blue,#F58426,orange,#BEC0C2,grey,#231F20,black,#EEEEE0,cream,
Oklahoma City Thunder,OKC,1610612760,#007DC3,blue,#F05133,orange,#FDBB30,gold,#002D62,navy,#BBBDBF,grey,
Orlanda Magic,ORL,1610612753,#007DC5,blue,#061922,black,#C4CED3,grey,#EEEEE0,cream,#002D62,navy,
Philadelphia 76ers,PHI,1610612755,#006BB6,blue,#ED174C,red,#002B5C,navy,#C4CED3,grey,#565A5C,grey,
Phoenix Suns,PHX,1610612756,#E56020,orange,#1D1160,purple,#63717A,grey,#061922,black,#F9A01B,gold,
Portland Trailblazers,POR,1610612757,#F0163A,red,#B6BFBF,grey,#061922,black,#838383,dark grey,#B3995D,gold,
Sacramento Kings,SAC,1610612758,#724C9F,purple,#8E9090,grey,#061922,black,#85B7EA,light blue,#D0103A,red,
San Antonio Spurs,SAS,1610612759,#BAC3C9,silver,#061922,black,#00CDCD,teal,#F87531,orange,#FF69B4,pink,
Toronto Raptors,TOR,1610612761,#CE1141,red,#061922,black,#A1A1A4,grey,#B4975A,gold,#6B238E,purple,
Utah Jazz,UTA,1610612762,#002B5C,navy,#00471B,green,#F9A01B,gold,#68228B,purple,#BEC0C2,grey,
Washington Wizards,WAS,1610612764,#002B5C,navy,#F5002F,red,#C2CCCC,grey,#061922,black,#B3995D,gold,until (including)
Charlotte Bobcats,CHA,,#174A7C,dark blue,#F26532,orange,#EEEEE0,cream,#A9A9A9,grey,#007DC3,blue,2013-14
New Orleans Hornets,NOH,,#1D1160,steel blue,#061922,teal,#4682B4,purple,#008CA8,black,#EEEEE0,cream,2012-13
New Jersey Nets,NJN,,#061922,black,#C0C0C0,silver,#EEEEE0,cream,#B71234,red,#004770,navy,2011-12
Seattle Supersonics,SEA,,#004C22,green,#FEBC1F,gold,#EEEEE0,cream,#A71B28,red,#A9A9A9,grey,2007-08
